,userId,movieId,rating
19846,156,1,5.0
19847,156,2,5.0
19851,156,6,4.0
19854,156,10,4.0
19855,156,11,5.0
19858,156,16,4.0
19859,156,17,4.0
19862,156,21,4.0
19866,156,25,4.0
19867,156,32,5.0
19868,156,34,3.0
19870,156,36,3.5
19875,156,47,4.0
19876,156,50,5.0
19881,156,62,4.0
19893,156,95,4.0
19894,156,104,2.0
19896,156,110,5.0
19897,156,111,4.0
19906,156,141,4.0
19908,156,150,5.0
19910,156,153,3.0
19915,156,161,4.0
19918,156,165,4.0
19927,156,185,5.0
19937,156,208,3.0
19948,156,231,1.0
19956,156,253,5.0
19970,156,288,2.0
19973,156,292,4.0
19974,156,293,5.0
19975,156,296,5.0
19979,156,316,4.0
19981,156,318,5.0
19986,156,329,3.0
19988,156,337,4.0
19991,156,344,3.0
19993,156,349,5.0
19998,156,356,5.0
19999,156,357,3.0
20003,156,364,4.0
20005,156,367,4.0
20009,156,377,5.0
20012,156,380,5.0
20021,156,410,3.0
20036,156,434,4.0
20041,156,442,4.0
20047,156,454,4.0
20049,156,457,5.0
20059,156,474,4.0
20062,156,480,5.0
20074,156,500,5.0
20079,156,508,5.0
20090,156,527,5.0
20094,156,539,4.0
20096,156,541,5.0
20103,156,551,4.0
20113,156,586,4.0
20114,156,587,5.0
20115,156,589,5.0
20116,156,590,5.0
20117,156,592,4.0
20118,156,593,5.0
20119,156,594,5.0
20120,156,597,5.0
20124,156,608,4.0
20138,156,648,4.0
20168,156,733,5.0
20169,156,736,4.0
20173,156,750,5.0
20178,156,780,5.0
20183,156,788,3.0
20200,156,858,5.0
20208,156,904,5.0
20212,156,912,5.0
20217,156,919,5.0
20219,156,923,4.0
20265,156,1036,5.0
20279,156,1089,5.0
20285,156,1097,5.0
20287,156,1101,5.0
20294,156,1127,5.0
20299,156,1136,5.0
20310,156,1193,5.0
20312,156,1196,5.0
20313,156,1198,5.0
20315,156,1200,5.0
20318,156,1206,5.0
20320,156,1208,5.0
20322,156,1210,5.0
20323,156,1214,5.0
20325,156,1220,5.0
20326,156,1221,4.0
20327,156,1222,3.0
20328,156,1225,4.0
20334,156,1240,5.0
20337,156,1246,5.0
20342,156,1258,4.0
20344,156,1265,4.0
20348,156,1270,4.0
20363,156,1291,4.0
20368,156,1307,3.0
20386,156,1356,4.0
20402,156,1387,5.0
20405,156,1393,5.0
20439,156,1527,4.0
20448,156,1573,4.0
20449,156,1580,5.0
20453,156,1584,3.0
20467,156,1610,5.0
20472,156,1617,5.0
20486,156,1653,3.0
20507,156,1704,5.0
20526,156,1784,5.0
20564,156,1917,4.0
20566,156,1923,3.0
20583,156,1961,4.0
20588,156,1968,4.0
20595,156,2000,5.0
20602,156,2011,4.0
20603,156,2012,3.0
20611,156,2028,5.0
20655,156,2115,4.0
20686,156,2174,5.0
20728,156,2291,5.0
20756,156,2355,4.0
20774,156,2396,5.0
20821,156,2502,5.0
20856,156,2571,5.0
20874,156,2628,3.0
20895,156,2683,4.0
20902,156,2700,2.0
20905,156,2706,3.0
20907,156,2710,1.0
20911,156,2716,5.0
20934,156,2762,5.0
20946,156,2791,5.0
20972,156,2858,5.0
20996,156,2916,4.0
20998,156,2918,4.0
21017,156,2959,5.0
21029,156,2987,5.0
21035,156,2997,3.0
21093,156,3147,5.0
21258,156,3578,5.0
21337,156,3793,4.0
21378,156,3897,5.0
21417,156,3996,5.0
21430,156,4022,4.0
21433,156,4027,4.0
21514,156,4226,4.0
21541,156,4306,5.0
21750,156,4886,4.0
21753,156,4896,4.0
21774,156,4963,5.0
21784,156,4993,5.0
21785,156,4995,5.0
21869,156,5349,4.0
21885,156,5418,4.0
21990,156,5952,5.0
106582,741,1,5.0
106583,741,2,3.0
106586,741,6,3.5
106588,741,10,4.0
106592,741,16,4.0
106593,741,17,4.5
106594,741,19,0.5
106595,741,21,3.5
106597,741,25,4.5
106600,741,32,5.0
106601,741,34,1.0
106602,741,39,0.5
106604,741,47,5.0
106606,741,50,5.0
106617,741,95,0.5
106618,741,104,0.5
106621,741,110,4.5
106622,741,111,5.0
106624,741,141,3.0
106626,741,150,5.0
106628,741,153,4.0
106633,741,161,5.0
106640,741,185,2.0
106644,741,208,3.5
106648,741,223,1.0
106653,741,231,0.5
106658,741,253,3.0
106660,741,260,5.0
106668,741,288,4.5
106669,741,292,1.5
106670,741,293,5.0
106671,741,296,5.0
106672,741,300,5.0
106674,741,316,2.5
106676,741,318,5.0
106677,741,329,1.0
106678,741,337,4.0
106679,741,339,2.5
106681,741,344,1.0
106683,741,349,2.5
106687,741,356,5.0
106688,741,357,5.0
106689,741,364,4.5
106690,741,367,4.5
106695,741,377,2.5
106696,741,380,1.0
106701,741,410,3.0
106715,741,434,1.0
106720,741,440,3.0
106721,741,442,0.5
106724,741,454,3.0
106726,741,457,4.0
106733,741,474,4.0
106735,741,480,2.0
106741,741,500,4.5
106744,741,508,4.5
106750,741,527,5.0
106755,741,539,5.0
106756,741,541,5.0
106758,741,551,4.5
106763,741,586,2.5
106764,741,587,4.0
106765,741,588,4.0
106766,741,589,3.5
106767,741,590,3.0
106768,741,592,5.0
106769,741,593,5.0
106770,741,594,3.0
106771,741,595,3.5
106773,741,597,2.5
106775,741,608,5.0
106779,741,648,3.0
106789,741,733,4.5
106790,741,736,0.5
106792,741,750,5.0
106793,741,778,5.0
106794,741,780,0.5
106799,741,788,3.0
106810,741,858,5.0
106818,741,904,5.0
106822,741,912,5.0
106827,741,919,4.0
106830,741,923,4.5
106831,741,924,5.0
106858,741,1036,4.5
106863,741,1073,4.0
106864,741,1079,5.0
106865,741,1080,4.5
106869,741,1089,5.0
106874,741,1097,1.0
106876,741,1101,4.0
106885,741,1127,2.0
106887,741,1136,5.0
106900,741,1193,5.0
106901,741,1196,4.5
106902,741,1197,5.0
106903,741,1198,4.5
106905,741,1200,4.5
106909,741,1206,5.0
106911,741,1208,5.0
106912,741,1210,4.0
106914,741,1213,5.0
106915,741,1214,4.5
106918,741,1219,4.5
106919,741,1220,2.0
106920,741,1221,4.5
106921,741,1222,4.5
106923,741,1225,5.0
106933,741,1240,4.5
106936,741,1246,5.0
106942,741,1258,5.0
106943,741,1259,4.5
106946,741,1265,5.0
106951,741,1270,2.5
